dev,iast,roman,count,top_sources,gotra_context
किशोर दौ नरउन,kiśor dau nrun,kisor dau nrun,2,Vol-3Final03-d(1).doc,
किशोर दौ पण्डुआ,kiśor dau pṇḍuā,kisor dau pndua,2,punji-05-Diwali2014.doc,
किशोर दौ पाली,kiśor dau pālī,kisor dau pali,2,punji-02-Diwali2014.doc,
किशोर दौ माण्डर,kiśor dau māṇḍr,kisor dau mandr,2,punji-03-Diwali2014.doc,
किशोर दौ सुरगन,kiśor dau surgn,kisor dau surgn,2,punji-03-Diwali2014.doc,
किशोर द्दौ वलियास,kiśor ddau vliyās,kisor ddau vliyas,2,Vol-3Final03-e(1).doc,
किशोर पनिचोभ,kiśor pnicobh,kisor pnicobh,2,Vol-3Final03-e(1).doc,
किशोर पबौली,kiśor pbaulī,kisor pbauli,2,Vol-3Final03-c(1).doc,
किशोर मोहन वलियास,kiśor mohn vliyās,kisor mohn vliyas,2,punji-02-Diwali2014.doc,
किशोर युगल किशोरा,kiśor yugl kiśorā,kisor yugl kisora,2,punji-07-Diwali2014.doc,Kapila
किशोर रघुवीरौ सरिसव,kiśor rghuvīrau srisv,kisor rghuvirau srisv,2,punji-03-Diwali2014.doc,
किशोर रतौली दरिहरा,kiśor rtaulī drihrā,kisor rtauli drihra,2,punji-07-Diwali2014.doc,Kapila
किशोर रामकिशोरौ सकराढी,kiśor rāmkiśorau skrāḍhī,kisor ramkisorau skradhi,2,punji-04-Diwali2014.doc,Vatsa
किशोर रोहाड़ सोदरपुर,kiśor rohāḍ़ sodrpur,kisor rohad sodrpur,2,Vol-3Final03-c(1).doc,
किशोर वलियास,kiśor vliyās,kisor vliyas,2,Vol-3Final03-a(1).doc,
किशोर सरिसव सोदरपुर,kiśor srisv sodrpur,kisor srisv sodrpur,2,punji-05-Diwali2014.doc,
किशोरः ततैल सकराढी,kiśorḥ ttail skrāḍhī,kisorh ttail skradhi,2,punji-03-Diwali2014.doc,
किशोरनाथ खण्डबला,kiśornāth khṇḍblā,kisornath khndbla,2,Final_348-690.doc,
किशोरनाथ खौआल,kiśornāth khauāl,kisornath khaual,2,Final_348-690.doc,
किशोरनाथ दौ सकराढ़ी,kiśornāth dau skrāḍh़ī,kisornath dau skradh i,2,Vol-3Final03-d(1).doc,
किशोरनाथ दौ सकराढी,kiśornāth dau skrāḍhī,kisornath dau skradhi,2,punji-03-Diwali2014.doc,
किशोरनाथ सरिसब,kiśornāth srisb,kisornath srisb,2,Vol-3Final03-e(1).doc,
किशोरनाथः ओझोली बेलउँच,kiśornāthḥ ojholī belum̐c,kisornathh ojholi belumc,2,punji-06-Diwali2014.doc,Kauśika
किशोरमोहन रवौआल,kiśormohn rvauāl,kisormohn rvaual,2,Final_348-690.doc,
किशोरा,kiśorā,kisora,2,punji-07-Diwali2014.doc,Kapila
किशोराः कुरमा खौआल,kiśorāḥ kurmā khauāl,kisorah kurma khaual,2,punji-04-Diwali2014.doc,Vatsa
किशोराः नेयाम कुजौली,kiśorāḥ neyām kujaulī,kisorah neyam kujauli,2,punji-05-Diwali2014.doc,
किशोराः पिण्डोखरि सुरगन,kiśorāḥ piṇḍokhri surgn,kisorah pindokhri surgn,2,punji-06-Diwali2014.doc,Kauśika
किशोरी,kiśorī,kisori,2,punji-02-Diwali2014.doc,
किशोरी अलय,kiśorī aly,kisori aly,2,Vol-3Final03-d(1).doc,
किशोरी खण्डबला,kiśorī khṇḍblā,kisori khndbla,2,Final_348-690.doc,
किशोरी दौ एकहरा,kiśorī dau ekhrā,kisori dau ekhra,2,Vol-3Final03-a(1).doc,
किशोरी दौ निखूति,kiśorī dau nikhūti,kisori dau nikhuti,2,punji-08-Diwali2014.doc,Kapila
किशोरी दौ पवौली,kiśorī dau pvaulī,kisori dau pvauli,2,punji-03-Diwali2014.doc,
किशोरी दौ सकराढ़ी,kiśorī dau skrāḍh़ī,kisori dau skradh i,2,Vol-3Final03-c(1).doc,
किशोरी दौ सोदरपुर,kiśorī dau sodrpur,kisori dau sodrpur,2,punji-04-Diwali2014.doc,Vatsa
किशोरी पाली,kiśorī pālī,kisori pali,2,Vol-3Final03-a(1).doc,
किशोरी बूतनो बमनियाम,kiśorī būtno bmniyām,kisori butno bmniyam,2,Vol-3Final03-e(1).doc,
किशोरी भूटाईभायजीका पाली,kiśorī bhūṭāībhāyjīkā pālī,kisori bhutaibhayjika pali,2,Final_348-690.doc,
किशोरी यदुनाथा पाली,kiśorī ydunāthā pālī,kisori ydunatha pali,2,Vol-3Final03-d(1).doc,
किशोरीकौ बडगाम दरिहरा,kiśorīkau bḍgām drihrā,kisorikau bdgam drihra,2,punji-03-Diwali2014.doc,
किशोरो सोदरपुर,kiśoro sodrpur,kisoro sodrpur,2,Vol-3Final03-c(1).doc,
किशोरौ खांगुड सरिसव,kiśorau khāṃguḍ srisv,kisorau khamgud srisv,2,punji-05-Diwali2014.doc,
किशोरौ बनैली तिलय,kiśorau bnailī tily,kisorau bnaili tily,2,punji-03-Diwali2014.doc,
किशोरौ सिहौली माण्डर,kiśorau sihaulī māṇḍr,kisorau sihauli mandr,2,punji-05-Diwali2014.doc,
किसाई दौ सोदरपुर,kisāī dau sodrpur,kisai dau sodrpur,2,punji-03-Diwali2014.doc,
किसाई माण्डर,kisāī māṇḍr,kisai mandr,2,Final_66-347.doc,
किसुनी माण्डर,kisunī māṇḍr,kisuni mandr,2,Final_66-347.doc,
किसुनी लालाका पबौली,kisunī lālākā pbaulī,kisuni lalaka pbauli,2,Final_66-347.doc,
कीराकाः नाहस खौआल,kīrākāḥ nāhs khauāl,kirakah nahs khaual,2,punji-06-Diwali2014.doc,Śāṇḍilya
कीराकौ पाली,kīrākau pālī,kirakau pali,2,Vol-3Final03-d(1).doc,
कीर्ति दौ सोदरपुर,kīrti dau sodrpur,kirti dau sodrpur,2,punji-07-Diwali2014.doc,Kāśyapa
कीर्तिनाथ दौ अलय,kīrtināth dau aly,kirtinath dau aly,2,punji-05-Diwali2014.doc,
कीर्तिनाथ दौ बुधवाल,kīrtināth dau budhvāl,kirtinath dau budhval,2,punji-05-Diwali2014.doc,
कीर्तिनाथ माण्डर,kīrtināth māṇḍr,kirtinath mandr,2,Final_348-690.doc,
कीर्तिनाथ ववुजनों पवौली,kīrtināth vvujnoṃ pvaulī,kirtinath vvujnom pvauli,2,punji-03-Diwali2014.doc,
कीर्तिनाथः खण्डवला,kīrtināthḥ khṇḍvlā,kirtinathh khndvla,2,punji-04-Diwali2014.doc,Vatsa
कीर्तिनाथः नेयाम कुजौली,kīrtināthḥ neyām kujaulī,kirtinathh neyam kujauli,2,punji-02-Diwali2014.doc,
कीर्तिनाथः पचही जजिवाल,kīrtināthḥ pchī jjivāl,kirtinathh pchi jjival,2,punji-05-Diwali2014.doc,
कीर्तिनाथः पिहवाल,kīrtināthḥ pihvāl,kirtinathh pihval,2,punji-02-Diwali2014.doc,
कीर्तिनाथः सुपरानी गंगोली,kīrtināthḥ suprānī gṃgolī,kirtinathh suprani gmgoli,2,punji-02-Diwali2014.doc,
कीर्तिनाथा पवौली,kīrtināthā pvaulī,kirtinatha pvauli,2,punji-02-Diwali2014.doc,
कीर्तिनाथा बुधवाल,kīrtināthā budhvāl,kirtinatha budhval,2,punji-07-Diwali2014.doc,Vatsa
कीर्तिनाथौ एकमा खण्डवला,kīrtināthau ekmā khṇḍvlā,kirtinathau ekma khndvla,2,punji-04-Diwali2014.doc,
कीर्तिनारायण खौआल,kīrtinārāyṇ khauāl,kirtinarayn khaual,2,punji-02-Diwali2014.doc,
कीर्तिनारायण रामप्रसाद करमहा,kīrtinārāyṇ rāmprsād krmhā,kirtinarayn ramprsad krmha,2,punji-07-Diwali2014.doc,Kapila
कीर्तिनारायणः बलियास,kīrtinārāyṇḥ bliyās,kirtinaraynh bliyas,2,punji-08-Diwali2014.doc,Kapila
कीर्तिलाला महिषी बुधवाल,kīrtilālā mhiṣī budhvāl,kirtilala mhisi budhval,2,punji-06-Diwali2014.doc,Śāṇḍilya
कीर्तिवतीकें खण्डवला,kīrtivtīkeṃ khṇḍvlā,kirtivtikem khndvla,2,punji-02-Diwali2014.doc,
कीर्तिस्यैव दौ पनिसरा,kīrtisyaiv dau pnisrā,kirtisyaiv dau pnisra,2,punji-02-Diwali2014.doc,
कीर्त्यानन्द सिंह आदर,kīrtyānnd siṃh ādr,kirtyannd simh adr,2,punji-06-Diwali2014.doc,
कीर्त्यानन्दः मलंगिया कुजौली,kīrtyānndḥ mlṃgiyā kujaulī,kirtyanndh mlmgiya kujauli,2,punji-05-Diwali2014.doc,
कीर्त्यानन्दा कनसम माण्डर,kīrtyānndā knsm māṇḍr,kirtyannda knsm mandr,2,punji-04-Diwali2014.doc,
कीर्त्यानन्दा दिगौन सोदरपुर,kīrtyānndā digaun sodrpur,kirtyannda digaun sodrpur,2,punji-07-Diwali2014.doc,Kapila
कीर्त्यानन्दा सुदै बेलउँच,kīrtyānndā sudai belum̐c,kirtyannda sudai belumc,2,punji-07-Diwali2014.doc,Kapila
कीर्त्यानन्दा हाटी पाली,kīrtyānndā hāṭī pālī,kirtyannda hati pali,2,punji-06-Diwali2014.doc,Kauśika
कीर्त्यानन्दाः पोठियावासी सतलखा,kīrtyānndāḥ poṭhiyāvāsī stlkhā,kirtyanndah pothiyavasi stlkha,2,punji-05-Diwali2014.doc,
कीसुता पबौली,kīsutā pbaulī,kisuta pbauli,2,Final_348-690.doc,
कीसू दौ सरिसब,kīsū dau srisb,kisu dau srisb,2,Vol-3Final03-a(1).doc,
कुंअर गुरुप्रसादा जालय,kuṃar guruprsādā jāly,kumar guruprsada jaly,2,punji-08-Diwali2014.doc,Kapila
कुंआडी लोहना सकराढी,kuṃāḍī lohnā skrāḍhī,kumadi lohna skradhi,2,punji-03-Diwali2014.doc,
कुंजनः बेहट खण्डवला,kuṃjnḥ behṭ khṇḍvlā,kumjnh beht khndvla,2,punji-03-Diwali2014.doc,
कुंजबिहारी दरिहरा,kuṃjbihārī drihrā,kumjbihari drihra,2,Final_66-347.doc,
कुंजबिहारी भौर खण्डवला,kuṃjbihārī bhaur khṇḍvlā,kumjbihari bhaur khndvla,2,punji-02-Diwali2014.doc,
कुंजबिहारीका महिषी बुधवाल,kuṃjbihārīkā mhiṣī budhvāl,kumjbiharika mhisi budhval,2,punji-04-Diwali2014.doc,
कुंजमोहनः बडगाम दरिहरा,kuṃjmohnḥ bḍgām drihrā,kumjmohnh bdgam drihra,2,punji-08-Diwali2014.doc,Kapila
कुंजलालः दिघो,kuṃjlālḥ digho,kumjlalh digho,2,punji-03-Diwali2014.doc,
कुआ तिसउँत,kuā tisum̐t,kua tisumt,2,Vol-3Final03-c(1).doc,
कुआगडही बडगाम दरिहरा,kuāgḍhī bḍgām drihrā,kuagdhi bdgam drihra,2,punji-04-Diwali2014.doc,Vatsa
कुआडी गुलदी खण्डवला,kuāḍī guldī khṇḍvlā,kuadi guldi khndvla,2,punji-02-Diwali2014.doc,
कुआडी धमदाहा,kuāḍī dhmdāhā,kuadi dhmdaha,2,punji-07-Diwali2014.doc,Kapila
कुआडी वासी खण्डवला,kuāḍī vāsī khṇḍvlā,kuadi vasi khndvla,2,punji-04-Diwali2014.doc,Vatsa
कुआडी वासी सकराढी,kuāḍī vāsī skrāḍhī,kuadi vasi skradhi,2,punji-03-Diwali2014.doc,
कुआतिसउँत,kuātisum̐t,kuatisumt,2,Final_66-347.doc,
कुकरौन द्योरी खण्डवला,kukraun dyorī khṇḍvlā,kukraun dyori khndvla,2,punji-03-Diwali2014.doc,
कुकरौन बढियाम पवोली,kukraun bḍhiyām pvolī,kukraun bdhiyam pvoli,2,punji-03-Diwali2014.doc,
कुकरौन वासी दरिहरा,kukraun vāsī drihrā,kukraun vasi drihra,2,punji-06-Diwali2014.doc,Kapila
कुकरौनवासी बढियाम पवौली,kukraunvāsī bḍhiyām pvaulī,kukraunvasi bdhiyam pvauli,2,punji-04-Diwali2014.doc,
कुकुन्द भीमो खौआल,kukund bhīmo khauāl,kukund bhimo khaual,2,Final_66-347.doc,
कुजोलि,kujoli,kujoli,2,Vol-3Final03-a(1).doc,
कुजौ,kujau,kujau,2,Vol-3Final03-d(1).doc,
कुजौरौली,kujauraulī,kujaurauli,2,Final_348-690.doc,
कुञ्जबिहारी अबधबिहारीकौ करमहा,kuñjbihārī abdhbihārīkau krmhā,kunjbihari abdhbiharikau krmha,2,Vol-3Final03-e(1).doc,
कुञ्जबिहारी छत्रधारीको करमहा,kuñjbihārī chtrdhārīko krmhā,kunjbihari chtrdhariko krmha,2,Vol-3Final03-e(1).doc,
कुञ्जोली,kuñjolī,kunjoli,2,Vol-3Final03-d(1).doc,
कुडुक वासी देवहार,kuḍuk vāsī devhār,kuduk vasi devhar,2,punji-04-Diwali2014.doc,Vatsa
कुडुम,kuḍum,kudum,2,punji-05-Diwali2014.doc,
कुडुमवासी संग्राम एकहरा,kuḍumvāsī sṃgrām ekhrā,kudumvasi smgram ekhra,2,punji-04-Diwali2014.doc,Vatsa
कुढाईकः छामू सकराढी,kuḍhāīkḥ chāmū skrāḍhī,kudhaikh chamu skradhi,2,punji-07-Diwali2014.doc,Kapila
कुनकुन गजानन्दो तिलय,kunkun gjānndo tily,kunkun gjanndo tily,2,punji-05-Diwali2014.doc,
कुनकुन दौ दरिहरा,kunkun dau drihrā,kunkun dau drihra,2,punji-04-Diwali2014.doc,
कुनकुनो पवौली,kunkuno pvaulī,kunkuno pvauli,2,Final_66-347.doc,
कुनकुनो हाटी सोदरपुर,kunkuno hāṭī sodrpur,kunkuno hati sodrpur,2,punji-02-Diwali2014.doc,Śāṇḍilya
कुनाई दौ दरिहरा,kunāī dau drihrā,kunai dau drihra,2,Final_348-690.doc,
कुनाईकः एकमा वलियास,kunāīkḥ ekmā vliyās,kunaikh ekma vliyas,2,punji-02-Diwali2014.doc,
कुनाईकः छतिमन,kunāīkḥ chtimn,kunaikh chtimn,2,punji-05-Diwali2014.doc,
कुनाईको सोदरपुर,kunāīko sodrpur,kunaiko sodrpur,2,Vol-3Final03-c(1).doc,
कुनादाय बेहट खण्डवला,kunādāy behṭ khṇḍvlā,kunaday beht khndvla,2,punji-03-Diwali2014.doc,
कुनाल गोशाईं गांव,kunāl gośāīṃ gāṃv,kunal gosaim gamv,2,punji-03-Diwali2014.doc,
कुनीलाल कुसौली दरिहरा,kunīlāl kusaulī drihrā,kunilal kusauli drihra,2,punji-06-Diwali2014.doc,Kauśika
कुने करमहा,kune krmhā,kune krmha,2,Final_348-690.doc,
कुने वदनो सोदरपुर,kune vdno sodrpur,kune vdno sodrpur,2,Final_348-690.doc,
कुने सभापतियः सोदरपुर,kune sbhāptiyḥ sodrpur,kune sbhaptiyh sodrpur,2,punji-04-Diwali2014.doc,
कुनौली,kunaulī,kunauli,2,punji-06-Diwali2014.doc,Kauśika
कुन्ती कटैया माण्डर,kuntī kṭaiyā māṇḍr,kunti ktaiya mandr,2,punji-05-Diwali2014.doc,
कुन्ती नुरपुरवासी देवहार,kuntī nurpurvāsī devhār,kunti nurpurvasi devhar,2,punji-04-Diwali2014.doc,
कुन्ती पुडैनी परिसरा,kuntī puḍainī prisrā,kunti pudaini prisra,2,punji-05-Diwali2014.doc,
कुन्ती मल्दवाड घोसोत,kuntī mldvāḍ ghosot,kunti mldvad ghosot,2,punji-07-Diwali2014.doc,Kṛṣṇātreya
कुन्ती रहटमीना सतलखा,kuntī rhṭmīnā stlkhā,kunti rhtmina stlkha,2,punji-05-Diwali2014.doc,
कुन्ती सरिसव सोदरपुर,kuntī srisv sodrpur,kunti srisv sodrpur,2,punji-06-Diwali2014.doc,Kauśika
कुन्दन सुखसेना भण्डारिसम,kundn sukhsenā bhṇḍārism,kundn sukhsena bhndarism,2,punji-03-Diwali2014.doc,
कुन्दना ओडा एकहरा,kundnā oḍā ekhrā,kundna oda ekhra,2,punji-02-Diwali2014.doc,
कुन्दनौ बठैली पण्डोली,kundnau bṭhailī pṇḍolī,kundnau bthaili pndoli,2,punji-04-Diwali2014.doc,Vatsa
कुबेरचन्द्रः जगौर सोदरपुर,kubercndrḥ jgaur sodrpur,kubercndrh jgaur sodrpur,2,punji-08-Diwali2014.doc,Kapila
कुमकुम ओकीमाण्डर,kumkum okīmāṇḍr,kumkum okimandr,2,punji-05-Diwali2014.doc,
कुमर दौ,kumr dau,kumr dau,2,Final_348-690.doc,
कुमर दौ एकहरा,kumr dau ekhrā,kumr dau ekhra,2,punji-02-Diwali2014.doc,
कुमरनाथः अलय,kumrnāthḥ aly,kumrnathh aly,2,punji-04-Diwali2014.doc,Vatsa
कुमरवाजितपुर ओइनि,kumrvājitpur oini,kumrvajitpur oini,2,punji-03-Diwali2014.doc,
कुमराः कनकौरा दिघो,kumrāḥ knkaurā digho,kumrah knkaura digho,2,punji-06-Diwali2014.doc,Kauśika
कुमराः पुनाछ बहेराढी,kumrāḥ punāch bherāḍhī,kumrah punach bheradhi,2,punji-02-Diwali2014.doc,
कुमरि ओडा एकहरा,kumri oḍā ekhrā,kumri oda ekhra,2,punji-04-Diwali2014.doc,
कुमरि नेयाम कुजौली,kumri neyām kujaulī,kumri neyam kujauli,2,punji-02-Diwali2014.doc,
कुमरौ गाउल करमहा,kumrau gāul krmhā,kumrau gaul krmha,2,punji-08-Diwali2014.doc,Kapila
कुमार अमृता,kumār amṛtā,kumar amrta,2,punji-06-Diwali2014.doc,Śāṇḍilya
कुमार आहिक हरिअम,kumār āhik hriam,kumar ahik hriam,2,Vol-3Final03-d(1).doc,
कुमार ऐहू,kumār aihū,kumar aihu,2,punji-07-Diwali2014.doc,Kapila
कुमार कनसम माण्डर,kumār knsm māṇḍr,kumar knsm mandr,2,punji-05-Diwali2014.doc,
कुमार जगतपुर ओइनि,kumār jgtpur oini,kumar jgtpur oini,2,punji-05-Diwali2014.doc,
कुमार डिहिया,kumār ḍihiyā,kumar dihiya,2,punji-04-Diwali2014.doc,
कुमार दरिहरा,kumār drihrā,kumar drihra,2,Final_348-690.doc,
कुमार दौ राओढ,kumār dau rāoḍh,kumar dau raodh,2,punji-04-Diwali2014.doc,
कुमार बैकसपुरवासी सोइनी,kumār baikspurvāsī soinī,kumar baikspurvasi soini,2,punji-05-Diwali2014.doc,
कुमार मदनपुरवासी कटाई,kumār mdnpurvāsī kṭāī,kumar mdnpurvasi ktai,2,punji-04-Diwali2014.doc,Vatsa
कुमार माण्डर,kumār māṇḍr,kumar mandr,2,Final_348-690.doc,
कुमार यमुआवासी कुसम्बाल,kumār ymuāvāsī kusmbāl,kumar ymuavasi kusmbal,2,punji-03-Diwali2014.doc,
कुमार रमई,kumār rmī,kumar rmi,2,punji-05-Diwali2014.doc,
कुमार राजकुमाराः कटाई,kumār rājkumārāḥ kṭāī,kumar rajkumarah ktai,2,punji-03-Diwali2014.doc,
कुमार राजनपुरा दरिहरा,kumār rājnpurā drihrā,kumar rajnpura drihra,2,punji-06-Diwali2014.doc,Śāṇḍilya
कुमार वभनियाम,kumār vbhniyām,kumar vbhniyam,2,Vol-3Final03-e(1).doc,
कुमार वलियास,kumār vliyās,kumar vliyas,2,Vol-3Final03-a(1).doc,
कुमार सिंह माण्डर,kumār siṃh māṇḍr,kumar simh mandr,2,punji-02-Diwali2014.doc,
कुमारः कवै सकराढी,kumārḥ kvai skrāḍhī,kumarh kvai skradhi,2,punji-03-Diwali2014.doc,
कुमारः नडुआर करमहा,kumārḥ nḍuār krmhā,kumarh nduar krmha,2,punji-04-Diwali2014.doc,Vatsa
कुमारः बलियास,kumārḥ bliyās,kumarh bliyas,2,punji-05-Diwali2014.doc,
कुमारः भौर खण्डवला,kumārḥ bhaur khṇḍvlā,kumarh bhaur khndvla,2,punji-07-Diwali2014.doc,Kapila
कुमारः मलंगिया कुजौलि,kumārḥ mlṃgiyā kujauli,kumarh mlmgiya kujauli,2,punji-02-Diwali2014.doc,
कुमारः महिषी पाली,kumārḥ mhiṣī pālī,kumarh mhisi pali,2,punji-07-Diwali2014.doc,Vasiṣṭha
कुमारः सिहौली माण्डर,kumārḥ sihaulī māṇḍr,kumarh sihauli mandr,2,punji-05-Diwali2014.doc,
कुमारः हर्षोली माण्डर,kumārḥ hrṣolī māṇḍr,kumarh hrsoli mandr,2,punji-06-Diwali2014.doc,Kauśika
कुमारखण्ड,kumārkhṇḍ,kumarkhnd,2,punji-07-Diwali2014.doc,Kapila
कुमारखण्डवासी ब्रह्मपुर माण्डर,kumārkhṇḍvāsī brhmpur māṇḍr,kumarkhndvasi brhmpur mandr,2,punji-04-Diwali2014.doc,
कुमारा आहिल खौआल,kumārā āhil khauāl,kumara ahil khaual,2,punji-03-Diwali2014.doc,
कुमारा कवै नरौन,kumārā kvai nraun,kumara kvai nraun,2,punji-07-Diwali2014.doc,Kapila
कुमारा नडुआर करमहा,kumārā nḍuār krmhā,kumara nduar krmha,2,punji-04-Diwali2014.doc,Vatsa
कुमारा राजनपुरा दरिहरा,kumārā rājnpurā drihrā,kumara rajnpura drihra,2,punji-06-Diwali2014.doc,Śāṇḍilya
कुमाराः नगवाड घासोत,kumārāḥ ngvāḍ ghāsot,kumarah ngvad ghasot,2,punji-06-Diwali2014.doc,Śāṇḍilya
कुमारौ कन्हौली सोदरपुर,kumārau knhaulī sodrpur,kumarau knhauli sodrpur,2,Final_348-690.doc,
कुमारौ सुखसेनावासी भण्डारिसम,kumārau sukhsenāvāsī bhṇḍārism,kumarau sukhsenavasi bhndarism,2,punji-04-Diwali2014.doc,Vatsa
कुमारौ सोदरपुर,kumārau sodrpur,kumarau sodrpur,2,Vol-3Final03-c(1).doc,
कुमुद नाथो पाली,kumud nātho pālī,kumud natho pali,2,Final_66-347.doc,
कुमुद प्रान्नाथौ पवौली,kumud prānnāthau pvaulī,kumud prannathau pvauli,2,punji-02-Diwali2014.doc,
कुमुदवती ओइनी,kumudvtī oinī,kumudvti oini,2,punji-08-Diwali2014.doc,Kapila
कुमुदाः बढियाम पवौली,kumudāḥ bḍhiyām pvaulī,kumudah bdhiyam pvauli,2,punji-03-Diwali2014.doc,
कुमुदानन्द एकहरा,kumudānnd ekhrā,kumudannd ekhra,2,Final_348-690.doc,
कुमुदिनी महिन्द्रपुर पण्डुआ,kumudinī mhindrpur pṇḍuā,kumudini mhindrpur pndua,2,punji-07-Diwali2014.doc,Kṛṣṇātreya
कुमुदिनी रतिपाड बेलउंच,kumudinī rtipāḍ beluṃc,kumudini rtipad belumc,2,punji-03-Diwali2014.doc,
कुमुदिनी सिमरवाड़ रवौआल,kumudinī simrvāḍ़ rvauāl,kumudini simrvad rvaual,2,Final_66-347.doc,
कुमोद कुमारा बुधवाल,kumod kumārā budhvāl,kumod kumara budhval,2,punji-06-Diwali2014.doc,Śāṇḍilya
कुम्हडी आहिल हरिअम,kumhḍī āhil hriam,kumhdi ahil hriam,2,punji-04-Diwali2014.doc,
कुम्हडी बलिराजपुर हरिअम,kumhḍī blirājpur hriam,kumhdi blirajpur hriam,2,punji-03-Diwali2014.doc,
कुम्हडी बेलउंच,kumhḍī beluṃc,kumhdi belumc,2,punji-02-Diwali2014.doc,
कुम्हडी वासी दिधोय,kumhḍī vāsī didhoy,kumhdi vasi didhoy,2,punji-05-Diwali2014.doc,
कुम्हडी सन्दहपुर दिघोय,kumhḍī sndhpur dighoy,kumhdi sndhpur dighoy,2,punji-03-Diwali2014.doc,
कुम्हडी सन्दहपुर दिधो,kumhḍī sndhpur didho,kumhdi sndhpur didho,2,punji-04-Diwali2014.doc,
कुम्हडी सुदय बेलउँच,kumhḍī sudy belum̐c,kumhdi sudy belumc,2,punji-06-Diwali2014.doc,
कुम्हडीवासी आहिल हरिअम,kumhḍīvāsī āhil hriam,kumhdivasi ahil hriam,2,punji-04-Diwali2014.doc,Vatsa
कुम्हडीवासी दिघोय,kumhḍīvāsī dighoy,kumhdivasi dighoy,2,punji-04-Diwali2014.doc,
कुम्हडीवासी परियाम बुधवाल,kumhḍīvāsī priyām budhvāl,kumhdivasi priyam budhval,2,punji-05-Diwali2014.doc,
कुम्हडीवासी बेला सकराढी,kumhḍīvāsī belā skrāḍhī,kumhdivasi bela skradhi,2,punji-04-Diwali2014.doc,Vatsa
कुम्हडीवासी सन्दहपुर दिघो,kumhḍīvāsī sndhpur digho,kumhdivasi sndhpur digho,2,punji-05-Diwali2014.doc,
कुम्हाडीवासी बलिराजपुर हरिअम,kumhāḍīvāsī blirājpur hriam,kumhadivasi blirajpur hriam,2,punji-04-Diwali2014.doc,Vatsa
कुम्हिया,kumhiyā,kumhiya,2,punji-04-Diwali2014.doc,Vatsa
कुम्हिया ओइनी,kumhiyā oinī,kumhiya oini,2,punji-04-Diwali2014.doc,
कुम्हिया वासी ओइनि,kumhiyā vāsī oini,kumhiya vasi oini,2,punji-07-Diwali2014.doc,Kapila
कुरमाखौआल,kurmākhauāl,kurmakhaual,2,Final_348-690.doc,
कुरसाकांटा कटमा हरिअम,kursākāṃṭā kṭmā hriam,kursakamta ktma hriam,2,punji-03-Diwali2014.doc,
कुरसाकांटावासी वीरपुर पनिचोभ,kursākāṃṭāvāsī vīrpur pnicobh,kursakamtavasi virpur pnicobh,2,punji-04-Diwali2014.doc,Vatsa
कुरहरि करमहा,kurhri krmhā,kurhri krmha,2,Final_1-65.doc,Vatsa
कुरिसमा सकराढ़ी,kurismā skrāḍh़ī,kurisma skradh i,2,Final_1-65.doc,Vatsa
कुरैल सकराढ़ी,kurail skrāḍh़ī,kurail skradh i,2,Final_1-65.doc,Vatsa
कुर्साकाँटा वासी पनिचोभ,kursākām̐ṭā vāsī pnicobh,kursakamta vasi pnicobh,2,punji-07-Diwali2014.doc,Kṛṣṇātreya
कुर्साकांटा भडगाम जजिवाल,kursākāṃṭā bhḍgām jjivāl,kursakamta bhdgam jjival,2,punji-04-Diwali2014.doc,
कुर्साकांटा वासी वुसवन,kursākāṃṭā vāsī vusvn,kursakamta vasi vusvn,2,punji-04-Diwali2014.doc,Vatsa
कुल,kul,kul,2,Final_348-690.doc,
कुलपति अनलपुर करमहा,kulpti anlpur krmhā,kulpti anlpur krmha,2,Final_66-347.doc,
कुलपति करनैठा सकराढी,kulpti krnaiṭhā skrāḍhī,kulpti krnaitha skradhi,2,punji-05-Diwali2014.doc,
कुलपति कालाक,kulpti kālāk,kulpti kalak,2,Vol-3Final03-d(1).doc,
कुलपति केशवा बेलउँच,kulpti keśvā belum̐c,kulpti kesva belumc,2,punji-04-Diwali2014.doc,Vatsa
कुलपति केशवो बेलउँच,kulpti keśvo belum̐c,kulpti kesvo belumc,2,punji-04-Diwali2014.doc,Vatsa
कुलपति खण्डवला,kulpti khṇḍvlā,kulpti khndvla,2,Vol-3Final03-d(1).doc,
कुलपति खोरि सोदरपुर,kulpti khori sodrpur,kulpti khori sodrpur,2,Final_1-65.doc,Vatsa
कुलपति गंगापति सरिसब,kulpti gṃgāpti srisb,kulpti gmgapti srisb,2,Final_66-347.doc,
कुलपति घुसौत,kulpti ghusaut,kulpti ghusaut,2,Final_348-690.doc,
कुलपति दौ गंगोर,kulpti dau gṃgor,kulpti dau gmgor,2,punji-02-Diwali2014.doc,
कुलपति दौ बलिया,kulpti dau bliyā,kulpti dau bliya,2,Final_1-65.doc,Vatsa
कुलपति दौ वलियास,kulpti dau vliyās,kulpti dau vliyas,2,Vol-3Final03-b(1).doc,
कुलपति नरउन,kulpti nrun,kulpti nrun,2,Final_348-690.doc,
कुलपति बूधवाल,kulpti būdhvāl,kulpti budhval,2,Final_66-347.doc,
कुलपति माण्डर,kulpti māṇḍr,kulpti mandr,2,punji-07-Diwali2014.doc,Kapila
कुलपति रवौआल,kulpti rvauāl,kulpti rvaual,2,Final_66-347.doc,
कुलपति सोदरपुर,kulpti sodrpur,kulpti sodrpur,2,Final_66-347.doc,
